order_id;return_id;order_date;return_date;return_delay_days;product_name;category;quantity;unit_price;return_amount;return_reason;return_status;sales_channel;carrier;region;city
CMD-10001;RET-20001;2025-01-19;2025-01-23;4;Écouteurs;Électronique;1;85.89;85.89;Changement d'avis;Remboursé;Application mobile;Colissimo;Auvergne-Rhône-Alpes;Clermont-Ferrand
CMD-10002;RET-20002;2024-03-13;2024-03-16;3;Pantalon;Vêtements;3;214.69;644.07;Changement d'avis;Échangé;Site web;UPS;Pays de la Loire;Nantes
CMD-10003;RET-20003;2024-12-24;2025-01-02;9;Tablette;Électronique;3;153.69;461.07;Ne correspond pas à la description;En cours de traitement;Site web;UPS;Hauts-de-France;Lille
CMD-10004;RET-20004;2024-04-16;2024-04-28;12;Cadre photo;Maison & Jardin;2;284.42;568.84;Produit défectueux;En cours de traitement;Site web;DHL;Bretagne;Quimper
CMD-10005;RET-20005;2025-01-13;2025-02-02;20;Cadre photo;Maison & Jardin;1;249.55;249.55;Ne correspond pas à la description;Remboursé;Site web;Chronopost;Île-de-France;Versailles
CMD-10006;RET-20006;2024-04-18;2024-05-01;13;Plante artificielle;Maison & Jardin;3;293.6;880.8;Ne correspond pas à la description;Échangé;Marketplace;Colissimo;Nouvelle-Aquitaine;Pau
CMD-10007;RET-20007;2025-01-03;2025-01-24;21;Chaussures;Vêtements;3;93.24;279.72;Ne correspond pas à la description;En cours de traitement;Application mobile;Chronopost;Bretagne;Brest
CMD-10008;RET-20008;2025-02-11;2025-02-22;11;Tablette;Électronique;1;283.72;283.72;Produit défectueux;En cours de traitement;Application mobile;DHL;Grand Est;Reims
CMD-10009;RET-20009;2024-06-14;2024-07-05;21;Sac de sport;Sport & Loisirs;3;166.01;498.03;Ne correspond pas à la description;Échangé;Site web;Mondial Relay;Hauts-de-France;Lille
CMD-10010;RET-20010;2024-10-03;2024-11-01;29;Parfum;Beauté & Santé;2;84.57;169.14;Mauvaise taille / couleur;En cours de traitement;Marketplace;Chronopost;Nouvelle-Aquitaine;Limoges
CMD-10011;RET-20011;2025-01-13;2025-01-19;6;Casque vélo;Sport & Loisirs;1;140.82;140.82;Mauvaise taille / couleur;Refusé;Marketplace;Colissimo;Normandie;Caen
